game_id,game_date,team,injury_off_impact,injury_def_impact,players_flagged,flagged_players,injury_total_impact
22500324,2025-12-03,POR,0.0,0.0,0,,0.0
22500325,2025-12-03,DEN,0.0,0.0,0,,0.0
22500325,2025-12-03,IND,0.0,0.0,0,,0.0
22500326,2025-12-03,ORL,0.0,0.0,0,,0.0
22500326,2025-12-03,SAS,0.0,0.0,0,,0.0
22500327,2025-12-03,ATL,0.0,0.0,0,,0.0
22500327,2025-12-03,LAC,0.0,0.0,0,,0.0
22500328,2025-12-03,CHA,0.0,0.0,0,,0.0
22500328,2025-12-03,NYK,0.0,0.0,0,,0.0
22500329,2025-12-03,BKN,0.0,0.0,0,,0.0
22500329,2025-12-03,CHI,0.0,0.0,0,,0.0
22500330,2025-12-03,HOU,0.0,0.0,0,,0.0
22500330,2025-12-03,SAC,0.0,0.0,0,,0.0
22500331,2025-12-03,DET,0.0,0.0,0,,0.0
22500331,2025-12-03,MIL,0.0,0.0,0,,0.0
22500332,2025-12-03,DAL,0.0,0.0,0,,0.0
22500332,2025-12-03,MIA,0.0,0.0,0,,0.0
22500333,2025-12-04,GSW,0.0,0.0,0,,0.0
22500333,2025-12-04,PHI,0.0,0.0,0,,0.0
22500334,2025-12-04,BOS,0.0,0.0,0,,0.0
22500334,2025-12-04,WAS,0.0,0.0,0,,0.0
22500335,2025-12-04,BKN,0.0,0.0,0,,0.0
22500335,2025-12-04,UTA,0.0,0.0,0,,0.0
22500336,2025-12-04,LAL,0.0,0.0,0,,0.0
22500336,2025-12-04,TOR,0.0,0.0,0,,0.0
22500337,2025-12-04,MIN,0.0,0.0,0,,0.0
22500337,2025-12-04,NOP,0.0,0.0,0,,0.0
22500338,2025-12-05,BOS,0.0,0.0,0,,0.0
22500338,2025-12-05,LAL,0.0,0.0,0,,0.0
22500339,2025-12-05,MIA,0.0,0.0,0,,0.0
22500339,2025-12-05,ORL,0.0,0.0,0,,0.0
22500340,2025-12-05,ATL,0.0,0.0,0,,0.0
22500340,2025-12-05,DEN,0.0,0.0,0,,0.0
22500341,2025-12-05,CLE,0.0,0.0,0,,0.0
22500341,2025-12-05,SAS,0.0,0.0,0,,0.0
22500342,2025-12-05,DET,0.0,0.0,0,,0.0
22500342,2025-12-05,POR,0.0,0.0,0,,0.0
22500343,2025-12-05,NYK,0.0,0.0,0,,0.0
22500343,2025-12-05,UTA,0.0,0.0,0,,0.0
22500344,2025-12-05,CHA,0.0,0.0,0,,0.0
22500344,2025-12-05,TOR,0.0,0.0,0,,0.0
22500345,2025-12-05,CHI,0.0,0.0,0,,0.0
22500345,2025-12-05,IND,0.0,0.0,0,,0.0
22500346,2025-12-05,HOU,0.0,0.0,0,,0.0
22500346,2025-12-05,PHX,0.0,0.0,0,,0.0
22500347,2025-12-05,LAC,0.0,0.0,0,,0.0
22500347,2025-12-05,MEM,0.0,0.0,0,,0.0
22500348,2025-12-05,MIL,0.0,0.0,0,,0.0
22500348,2025-12-05,PHI,0.0,0.0,0,,0.0
22500349,2025-12-05,DAL,0.0,0.0,0,,0.0
22500349,2025-12-05,OKC,0.0,0.0,0,,0.0
22500350,2025-12-06,BKN,0.0,0.0,0,,0.0
22500350,2025-12-06,NOP,0.0,0.0,0,,0.0
22500351,2025-12-06,ATL,0.0,0.0,0,,0.0
22500351,2025-12-06,WAS,0.0,0.0,0,,0.0
22500352,2025-12-06,CLE,0.0,0.0,0,,0.0
22500352,2025-12-06,GSW,0.0,0.0,0,,0.0
22500353,2025-12-06,DET,0.0,0.0,0,,0.0
22500353,2025-12-06,MIL,0.0,0.0,0,,0.0
22500354,2025-12-06,MIA,0.0,0.0,0,,0.0
22500354,2025-12-06,SAC,0.0,0.0,0,,0.0
22500355,2025-12-06,LAC,0.0,0.0,0,,0.0
22500355,2025-12-06,MIN,0.0,0.0,0,,0.0
22500356,2025-12-06,DAL,0.0,0.0,0,,0.0
22500356,2025-12-06,HOU,0.0,0.0,0,,0.0
22500357,2025-12-07,NYK,0.0,0.0,0,,0.0
22500357,2025-12-07,ORL,0.0,0.0,0,,0.0
22500358,2025-12-07,BOS,0.0,0.0,0,,0.0
22500358,2025-12-07,TOR,0.0,0.0,0,,0.0
22500359,2025-12-07,CHA,0.0,0.0,0,,0.0
22500359,2025-12-07,DEN,0.0,0.0,0,,0.0
22500360,2025-12-07,MEM,0.0,0.0,0,,0.0
22500360,2025-12-07,POR,0.0,0.0,0,,0.0
22500361,2025-12-07,CHI,0.0,0.0,0,,0.0
22500361,2025-12-07,GSW,0.0,0.0,0,,0.0
22500362,2025-12-07,LAL,0.0,0.0,0,,0.0
22500362,2025-12-07,PHI,0.0,0.0,0,,0.0
22500363,2025-12-07,OKC,0.0,0.0,0,,0.0
22500363,2025-12-07,UTA,0.0,0.0,0,,0.0
22500364,2025-12-08,IND,0.0,0.0,0,,0.0
22500364,2025-12-08,SAC,0.0,0.0,0,,0.0
22500365,2025-12-08,MIN,0.0,0.0,0,,0.0
22500365,2025-12-08,PHX,0.0,0.0,0,,0.0
22500366,2025-12-08,NOP,0.0,0.0,0,,0.0
22500366,2025-12-08,SAS,0.0,0.0,0,,0.0
22501201,2025-12-09,MIA,0.0,0.0,0,,0.0
22501201,2025-12-09,ORL,0.0,0.0,0,,0.0
22501202,2025-12-09,NYK,0.0,0.0,0,,0.0
22501202,2025-12-09,TOR,0.0,0.0,0,,0.0
22501203,2025-12-10,OKC,0.0,0.0,0,,0.0
22501203,2025-12-10,PHX,0.0,0.0,0,,0.0
22501204,2025-12-10,LAL,0.0,0.0,0,,0.0
22501204,2025-12-10,SAS,0.0,0.0,0,,0.0
22501205,2025-12-11,HOU,0.0,0.0,0,,0.0
22501205,2025-12-11,LAC,0.0,0.0,0,,0.0
22501206,2025-12-11,BOS,0.0,0.0,0,,0.0
22501206,2025-12-11,MIL,0.0,0.0,0,,0.0
22501207,2025-12-11,NOP,0.0,0.0,0,,0.0
22501207,2025-12-11,POR,0.0,0.0,0,,0.0
22501208,2025-12-11,DEN,0.0,0.0,0,,0.0
22501208,2025-12-11,SAC,0.0,0.0,0,,0.0
22501209,2025-12-12,CHA,0.0,0.0,0,,0.0
22501209,2025-12-12,CHI,0.0,0.0,0,,0.0
22501210,2025-12-12,ATL,0.0,0.0,0,,0.0
22501210,2025-12-12,DET,0.0,0.0,0,,0.0
22501211,2025-12-12,IND,0.0,0.0,0,,0.0
22501211,2025-12-12,PHI,0.0,0.0,0,,0.0
22501212,2025-12-12,CLE,0.0,0.0,0,,0.0
22501212,2025-12-12,WAS,0.0,0.0,0,,0.0
22501213,2025-12-12,MEM,0.0,0.0,0,,0.0
22501213,2025-12-12,UTA,0.0,0.0,0,,0.0
22501214,2025-12-12,BKN,0.0,0.0,0,,0.0
22501214,2025-12-12,DAL,0.0,0.0,0,,0.0
22501215,2025-12-12,GSW,0.0,0.0,0,,0.0
22501215,2025-12-12,MIN,0.0,0.0,0,,0.0
22501216,2025-12-14,IND,0.0,0.0,0,,0.0
22501216,2025-12-14,WAS,0.0,0.0,0,,0.0
22501217,2025-12-14,ATL,0.0,0.0,0,,0.0
22501217,2025-12-14,PHI,0.0,0.0,0,,0.0
22501218,2025-12-14,CHA,0.0,0.0,0,,0.0
22501218,2025-12-14,CLE,0.0,0.0,0,,0.0
22501219,2025-12-14,BKN,0.0,0.0,0,,0.0
22501219,2025-12-14,MIL,0.0,0.0,0,,0.0
22501220,2025-12-14,MIN,0.0,0.0,0,,0.0
22501220,2025-12-14,SAC,0.0,0.0,0,,0.0
22501221,2025-12-14,GSW,0.0,0.0,0,,0.0
22501221,2025-12-14,POR,0.0,0.0,0,,0.0
22501223,2025-12-14,CHI,0.0,0.0,0,,0.0
22501223,2025-12-14,NOP,0.0,0.0,0,,0.0
22501228,2025-12-14,LAL,0.0,0.0,0,,0.0
22501228,2025-12-14,PHX,0.0,0.0,0,,0.0
22501222,2025-12-15,BOS,0.0,0.0,0,,0.0
22501222,2025-12-15,DET,0.0,0.0,0,,0.0
22501224,2025-12-15,DAL,0.0,0.0,0,,0.0
22501224,2025-12-15,UTA,0.0,0.0,0,,0.0
22501225,2025-12-15,DEN,0.0,0.0,0,,0.0
22501225,2025-12-15,HOU,0.0,0.0,0,,0.0
22501226,2025-12-15,LAC,0.0,0.0,0,,0.0
22501226,2025-12-15,MEM,0.0,0.0,0,,0.0
22501227,2025-12-15,MIA,0.0,0.0,0,,0.0
22501227,2025-12-15,TOR,0.0,0.0,0,,0.0
22500367,2025-12-17,CHI,0.0,0.0,0,,0.0
22500367,2025-12-17,CLE,0.0,0.0,0,,0.0
22500368,2025-12-17,MEM,0.0,0.0,0,,0.0
22500368,2025-12-17,MIN,0.0,0.0,0,,0.0
22500369,2025-12-18,LAC,0.0,0.0,0,,0.0
22500369,2025-12-18,OKC,0.0,0.0,0,,0.0
22500370,2025-12-18,SAS,0.0,0.0,0,,0.0
22500370,2025-12-18,WAS,0.0,0.0,0,,0.0
22500371,2025-12-18,ATL,0.0,0.0,0,,0.0
